transaction_id,date,product_category,product_name,quantity,unit_price,customer_region
T1001,2026-01-15,Electronics,Wireless Mouse,2,25.50,North
T1002,2026-01-16,Furniture,Ergonomic Chair,1,180.00,West
T1003,2026-01-16,Electronics,USB-C Cable,5,9.99,East
T1004,2026-01-17,Office Supplies,Notebook 3-Pack,3,12.00,North
T1005,2026-01-18,Electronics,Bluetooth Headphones,1,85.00,South
T1006,2026-01-19,Furniture,Standing Desk,1,350.00,West
T1007,2026-01-20,Office Supplies,Gel Pens 10-Pack,4,8.50,East
T1008,2026-01-21,Electronics,Mechanical Keyboard,1,120.00,South
T1009,2026-01-22,Furniture,Monitor Arm,2,45.00,North
T1010,2026-01-22,Office Supplies,Desk Pad,1,22.00,West
